,K,var_c,var_MC
0,50.0,0.08497866812583421,128.26773161284078
1,51.0,0.09410416564812614,131.8720914242013
2,52.0,0.09303470275716198,132.37919099304574
3,53.0,0.08533420943288014,129.58900897954607
4,54.0,0.08834436896256781,129.5709081846638
5,55.0,0.09380760858024567,132.70059560247086
6,56.0,0.08680945869639035,129.31045929347223
7,57.0,0.08981142944727225,131.64262424454847
8,58.0,0.09036294632025202,128.4589422629392
9,59.0,0.09153501434366797,129.9778104031628
10,60.0,0.09635232199581562,131.29211892587875
11,61.0,0.08745882495667771,130.54053649799144
12,62.0,0.08531746406757638,126.2634483141742
13,63.0,0.09733562712023898,135.46676286867338
14,64.0,0.0834491607310949,130.16952917632656
15,65.0,0.0931569795549816,130.4038473216413
16,66.0,0.07764886145756761,125.35360100725997
17,67.0,0.08566340136481956,132.59173716044276
18,68.0,0.09317116583013584,131.32128581486933
19,69.0,0.0891009091857104,130.4391463990818
20,70.0,0.0844152842752217,127.50438138686809
21,71.0,0.0901163873392575,131.79406323313205
22,72.0,0.09036502162109025,129.88744539999504
23,73.0,0.09011005985916025,129.73158436504818
24,74.0,0.09604810795233266,128.72110627947905
25,75.0,0.08336063696858419,126.68577163103154
26,76.0,0.0868714978591498,130.2607423779676
27,77.0,0.08388850239488999,127.66246210895702
28,78.0,0.08544477565578862,127.05682384246808
29,79.0,0.08085499336561304,126.81430090292946
30,80.0,0.0801741553445541,125.58975569005084
31,81.0,0.0868730312653986,127.82873864673522
32,82.0,0.07898194281329686,121.22687267179708
33,83.0,0.08233078605165797,123.16372888894006
34,84.0,0.08648912716547748,120.95643173043462
35,85.0,0.09175233837606245,124.19959403082161
36,86.0,0.09237053174015296,120.4014964282149
37,87.0,0.10059135344737324,118.76276134058992
38,88.0,0.09623110260686456,113.46276624923999
39,89.0,0.09258048667432414,111.52745858773945
40,90.0,0.09136565990991055,109.33651805081672
41,91.0,0.08406629647250431,103.35212113310789
42,92.0,0.100630894280174,101.56612049844583
43,93.0,0.10312348792998757,97.91534399156711
44,94.0,0.10584445378834256,94.97707889107511
45,95.0,0.10683084278789054,92.16834406749136
46,96.0,0.10810827277653083,87.97587906008414
47,97.0,0.10486591591022065,79.75061912613408
48,98.0,0.12135923600630066,78.23197489556784
49,99.0,0.11641136022982305,71.3526655413284
