,Values,Sigma,Mean,Confidence interval,Standard error
0,3.4129460784414634,95.0,3.413,"[3.4, 3.426]",0.007
1,3.738004020046065,96.0,3.738,"[3.724, 3.752]",0.007
2,4.061738365636591,97.0,4.062,"[4.047, 4.076]",0.007
3,4.412620353403264,98.0,4.413,"[4.398, 4.428]",0.008
4,4.780511838628625,99.0,4.781,"[4.765, 4.796]",0.008
5,5.164856475063191,100.0,5.165,"[5.149, 5.181]",0.008
6,5.57432598912454,101.0,5.574,"[5.557, 5.591]",0.009
7,6.000984521352297,102.0,6.001,"[5.983, 6.019]",0.009
8,6.443575502527373,103.0,6.444,"[6.425, 6.462]",0.009
9,6.896332927006825,104.0,6.896,"[6.877, 6.915]",0.01
10,7.397381796332982,105.0,7.397,"[7.378, 7.417]",0.01
